pgtable,factype,facsubgrp,facgroup,facdomain,count
hhs_facilities_fmscontracts,Specialized Teen Preventive Services,"Preventative Care, Evaluation Services, and Respite",Child Services and Welfare,"Education, Child Welfare, and Youth",118
hhs_facilities_proposals,General Preventive Care,"Preventative Care, Evaluation Services, and Respite",Child Services and Welfare,"Education, Child Welfare, and Youth",3
hhs_facilities_proposals,Mental Health Evaluation Services,"Preventative Care, Evaluation Services, and Respite",Child Services and Welfare,"Education, Child Welfare, and Youth",1
hhs_facilities_proposals,Respite,"Preventative Care, Evaluation Services, and Respite",Child Services and Welfare,"Education, Child Welfare, and Youth",6
dcp_facilities_pops,Privately Owned Public Space,Privately Owned Public Space,Parks and Plazas,"Parks, Gardens, and Historical Sites",391
nysopwdd_facilities_providers,Programs for People with Disabilities,Programs for People with Disabilities,Human Services,Health and Human Services,165
dcas_facilities_colp,Long-Term Agreement,Properties Leased or Licensed to Non-public Entities,Other Property,Administration of Government,166
dcas_facilities_colp,Short & Long Term Agreements,Properties Leased or Licensed to Non-public Entities,Other Property,Administration of Government,11
dcas_facilities_colp,Short-Term Agreement,Properties Leased or Licensed to Non-public Entities,Other Property,Administration of Government,74
nysed_facilities_activeinstitutions,Licensed Private Schools,Proprietary Schools,Vocational and Proprietary Schools,"Education, Child Welfare, and Youth",374
nysed_facilities_activeinstitutions,Registered Business Schools,Proprietary Schools,Vocational and Proprietary Schools,"Education, Child Welfare, and Youth",152
nysed_facilities_activeinstitutions,Registered ESL Schools,Proprietary Schools,Vocational and Proprietary Schools,"Education, Child Welfare, and Youth",49
doe_facilities_schoolsbluebook,Special Ed School - Charter,Public and Private Special Education Schools,,,1
doe_facilities_schoolsbluebook,Special Ed School - Public,Public and Private Special Education Schools,,,307
nysed_facilities_activeinstitutions,Approved Private Schools For Students with Disabilities,Public and Private Special Education Schools,,,10
nysed_facilities_activeinstitutions,Interim Placement Facilities For Students with Disabilities,Public and Private Special Education Schools,,,7
nysed_facilities_activeinstitutions,Residential Facilities For Students with Disabilities Covered Under The NY Justice Center,Public and Private Special Education Schools,,,2
nysed_facilities_activeinstitutions,Special Ed Training Resource Centers,Public and Private Special Education Schools,,,1
nysed_facilities_activeinstitutions,Summer School For Handicapped,Public and Private Special Education Schools,,,4
dcas_facilities_colp,Academic High School,Public K-12 Schools,Schools (K-12),"Education, Child Welfare, and Youth",14
dcas_facilities_colp,Alternative High School,Public K-12 Schools,Schools (K-12),"Education, Child Welfare, and Youth",1
dcas_facilities_colp,Charter School,Public K-12 Schools,Schools (K-12),"Education, Child Welfare, and Youth",1
dcas_facilities_colp,Educational Skills Center,Public K-12 Schools,Schools (K-12),"Education, Child Welfare, and Youth",3
dcas_facilities_colp,Elementary School,Public K-12 Schools,Schools (K-12),"Education, Child Welfare, and Youth",63
dcas_facilities_colp,Intermediate School,Public K-12 Schools,Schools (K-12),"Education, Child Welfare, and Youth",19
dcas_facilities_colp,Public School,Public K-12 Schools,Schools (K-12),"Education, Child Welfare, and Youth",1
dcas_facilities_colp,School,Public K-12 Schools,Schools (K-12),"Education, Child Welfare, and Youth",2
dcas_facilities_colp,Special Education School,Public K-12 Schools,Schools (K-12),"Education, Child Welfare, and Youth",24
dcas_facilities_colp,Vocational High School,Public K-12 Schools,Schools (K-12),"Education, Child Welfare, and Youth",1
doe_facilities_schoolsbluebook,Elementary and Middle School - Public,Public K-12 Schools,Schools (K-12),"Education, Child Welfare, and Youth",189
doe_facilities_schoolsbluebook,Elementary School - Public,Public K-12 Schools,Schools (K-12),"Education, Child Welfare, and Youth",692
doe_facilities_schoolsbluebook,High School - Public,Public K-12 Schools,Schools (K-12),"Education, Child Welfare, and Youth",447
doe_facilities_schoolsbluebook,K-12 School - Unspecified,Public K-12 Schools,Schools (K-12),"Education, Child Welfare, and Youth",11
doe_facilities_schoolsbluebook,Middle and High School - Public,Public K-12 Schools,Schools (K-12),"Education, Child Welfare, and Youth",95
doe_facilities_schoolsbluebook,Middle School - Public,Public K-12 Schools,Schools (K-12),"Education, Child Welfare, and Youth",276
dcas_facilities_colp,Branch Library,Public Libraries,Libraries,Libraries and Cultural Programs,7
omb_facilities_libraryvisits,Public Libraries,Public Libraries,Libraries,Libraries and Cultural Programs,222
amtrak_facilities_sfpsd,Amtrak Maintenance and Other Facility,Rail Yards and Maintenance,Transportation,Core Infrastructure and Transportation,1
amtrak_facilities_sfpsd,Amtrak Yard,Rail Yards and Maintenance,Transportation,Core Infrastructure and Transportation,1
dcas_facilities_colp,Rail Facility,Rail Yards and Maintenance,Transportation,Core Infrastructure and Transportation,3
dcas_facilities_colp,Rail Line,Rail Yards and Maintenance,Transportation,Core Infrastructure and Transportation,4
dcas_facilities_colp,Transit Substation,Rail Yards and Maintenance,Transportation,Core Infrastructure and Transportation,31
dcas_facilities_colp,Transit Yard,Rail Yards and Maintenance,Transportation,Core Infrastructure and Transportation,15
mta_facilities_sfpsd,LIRR Maintenance and Other Facility,Rail Yards and Maintenance,Transportation,Core Infrastructure and Transportation,6
mta_facilities_sfpsd,LIRR Yard,Rail Yards and Maintenance,Transportation,Core Infrastructure and Transportation,21
mta_facilities_sfpsd,Metro-North Maintenance and Other Facility,Rail Yards and Maintenance,Transportation,Core Infrastructure and Transportation,1
mta_facilities_sfpsd,Metro-North Yard,Rail Yards and Maintenance,Transportation,Core Infrastructure and Transportation,3
mta_facilities_sfpsd,NYCT Maintenance and Other Facility,Rail Yards and Maintenance,Transportation,Core Infrastructure and Transportation,26
mta_facilities_sfpsd,NYCT Subway Yard,Rail Yards and Maintenance,Transportation,Core Infrastructure and Transportation,40
dcas_facilities_colp,Accessory Play Area,Recreation and Waterfront Sites,Parks and Plazas,"Parks, Gardens, and Historical Sites",16
dcas_facilities_colp,Beach,Recreation and Waterfront Sites,Parks and Plazas,"Parks, Gardens, and Historical Sites",15
dcas_facilities_colp,Golf Course,Recreation and Waterfront Sites,Parks and Plazas,"Parks, Gardens, and Historical Sites",4
dcas_facilities_colp,Indoor Pool,Recreation and Waterfront Sites,Parks and Plazas,"Parks, Gardens, and Historical Sites",1
dcas_facilities_colp,Outdoor Pool,Recreation and Waterfront Sites,Parks and Plazas,"Parks, Gardens, and Historical Sites",3
dcas_facilities_colp,Playground,Recreation and Waterfront Sites,Parks and Plazas,"Parks, Gardens, and Historical Sites",448
dcas_facilities_colp,Playground/Sports Area,Recreation and Waterfront Sites,Parks and Plazas,"Parks, Gardens, and Historical Sites",374
dcas_facilities_colp,Playing Field,Recreation and Waterfront Sites,Parks and Plazas,"Parks, Gardens, and Historical Sites",81
dcas_facilities_colp,Recreational Facility,Recreation and Waterfront Sites,Parks and Plazas,"Parks, Gardens, and Historical Sites",3
dcas_facilities_colp,Recreation Center/Gymnasium,Recreation and Waterfront Sites,Parks and Plazas,"Parks, Gardens, and Historical Sites",2
dcas_facilities_colp,Special Recreational Facility - Indoor,Recreation and Waterfront Sites,Parks and Plazas,"Parks, Gardens, and Historical Sites",8
dcas_facilities_colp,Special Recreational Facility - Outdoor,Recreation and Waterfront Sites,Parks and Plazas,"Parks, Gardens, and Historical Sites",4
dcas_facilities_colp,Stadium,Recreation and Waterfront Sites,Parks and Plazas,"Parks, Gardens, and Historical Sites",4
dcas_facilities_colp,"Tennis Court, Basketball Court, Etc",Recreation and Waterfront Sites,Parks and Plazas,"Parks, Gardens, and Historical Sites",7
dpr_parksproperties,Buildings/Institutions,Recreation and Waterfront Sites,Parks and Plazas,"Parks, Gardens, and Historical Sites",22
dpr_parksproperties,Jointly Operated Playground,Recreation and Waterfront Sites,Parks and Plazas,"Parks, Gardens, and Historical Sites",267
dpr_parksproperties,Managed Sites,Recreation and Waterfront Sites,Parks and Plazas,"Parks, Gardens, and Historical Sites",15
dpr_parksproperties,Playground,Recreation and Waterfront Sites,Parks and Plazas,"Parks, Gardens, and Historical Sites",226
dpr_parksproperties,Recreation Field/Courts,Recreation and Waterfront Sites,Parks and Plazas,"Parks, Gardens, and Historical Sites",71
dpr_parksproperties,Waterfront Facility,Recreation and Waterfront Sites,Parks and Plazas,"Parks, Gardens, and Historical Sites",17
nysdoh_facilities_healthfacilities,Hospice,Residential Health Care,Health Care,Health and Human Services,7
nysdoh_facilities_healthfacilities,Residential Health Care,Residential Health Care,Health Care,Health and Human Services,170
doe_facilities_schoolsbluebook,School-Based Safety Program,School-Based Safety Program,Public Safety,"Public Safety, Emergency Services, and Administration of Justice",52
dcas_facilities_colp,Senior Center,Senior Services,Human Services,Health and Human Services,1
dfta_facilities_contracts,Home Delivered Meals,Senior Services,Human Services,Health and Human Services,20
dfta_facilities_contracts,Innovative Senior Centers,Senior Services,Human Services,Health and Human Services,14
dfta_facilities_contracts,Neighborhood Senior Centers,Senior Services,Human Services,Health and Human Services,230
dfta_facilities_contracts,Satellite Senior Centers,Senior Services,Human Services,Health and Human Services,41
dfta_facilities_contracts,Senior Services,Senior Services,Human Services,Health and Human Services,88
hhs_facilities_fmscontracts,Various Social Services,Senior Services,Human Services,Health and Human Services,16
hhs_facilities_proposals,Case Management,Senior Services,Human Services,Health and Human Services,28
hhs_facilities_proposals,Elder Abuse Prevention,Senior Services,Human Services,Health and Human Services,9
dca_facilities_operatingbusinesses,Scrap Metal Processing,Solid Waste Processing,Solid Waste,Core Infrastructure and Transportation,62
dcas_facilities_colp,Solid Waste Incinerator,Solid Waste Processing,Solid Waste,Core Infrastructure and Transportation,1
dcas_facilities_colp,Solid Waste Landfill,Solid Waste Processing,Solid Waste,Core Infrastructure and Transportation,5
nysdec_facilities_solidwaste,Composting,Solid Waste Processing,Solid Waste,Core Infrastructure and Transportation,8
nysdec_facilities_solidwaste,Construction and Demolition Processing,Solid Waste Processing,Solid Waste,Core Infrastructure and Transportation,49
nysdec_facilities_solidwaste,Landfill Gas Recovery,Solid Waste Processing,Solid Waste,Core Infrastructure and Transportation,1
nysdec_facilities_solidwaste,Mobile Vehicle Crushers,Solid Waste Processing,Solid Waste,Core Infrastructure and Transportation,1
nysdec_facilities_solidwaste,Recyclables Handling and Recovery,Solid Waste Processing,Solid Waste,Core Infrastructure and Transportation,44
nysdec_facilities_solidwaste,Regulated Medical Waste,Solid Waste Processing,Solid Waste,Core Infrastructure and Transportation,4
nysdec_facilities_solidwaste,Solid Waste Processing,Solid Waste Processing,Solid Waste,Core Infrastructure and Transportation,1
nysdec_facilities_solidwaste,Used Cooking Oil Processing,Solid Waste Processing,Solid Waste,Core Infrastructure and Transportation,3
nysdec_facilities_solidwaste,Vehicle Dismantling Facility,Solid Waste Processing,Solid Waste,Core Infrastructure and Transportation,87
nysdec_facilities_solidwaste,Waste Oil Storage,Solid Waste Processing,Solid Waste,Core Infrastructure and Transportation,4
nysdec_facilities_solidwaste,Waste Tire Storage,Solid Waste Processing,Solid Waste,Core Infrastructure and Transportation,1
bic_facilities_tradewaste,Trade Waste Carter Site,Solid Waste Transfer and Carting,Solid Waste,Core Infrastructure and Transportation,2121
dcas_facilities_colp,Sanitation Section Station,Solid Waste Transfer and Carting,Solid Waste,Core Infrastructure and Transportation,13
dcas_facilities_colp,Solid Waste Transfer Station,Solid Waste Transfer and Carting,Solid Waste,Core Infrastructure and Transportation,7
dsny_facilities_mtsgaragemaintenance,DSNY Garage,Solid Waste Transfer and Carting,Solid Waste,Core Infrastructure and Transportation,68
dsny_facilities_mtsgaragemaintenance,DSNY Marine Transfer Station,Solid Waste Transfer and Carting,Solid Waste,Core Infrastructure and Transportation,6
dsny_facilities_mtsgaragemaintenance,DSNY Repair Facility,Solid Waste Transfer and Carting,Solid Waste,Core Infrastructure and Transportation,8
nysdec_facilities_solidwaste,Transfer Station,Solid Waste Transfer and Carting,Solid Waste,Core Infrastructure and Transportation,32
foodbankny_facilities_foodbanks,Food Pantry,Soup Kitchens and Food Pantries,Human Services,Health and Human Services,606
foodbankny_facilities_foodbanks,Soup Kitchen,Soup Kitchens and Food Pantries,Human Services,Health and Human Services,155
dcas_facilities_colp,Combined Maintenance/Storage Facility,Storage,"City Agency Parking, Maintenance, and Storage",Administration of Government,56
dcas_facilities_colp,Indoor Maintenance/Storage Facility,Storage,"City Agency Parking, Maintenance, and Storage",Administration of Government,3
dcas_facilities_colp,Indoor Storage - Bulk Material,Storage,"City Agency Parking, Maintenance, and Storage",Administration of Government,7
dcas_facilities_colp,Indoor Storage - Equipment,Storage,"City Agency Parking, Maintenance, and Storage",Administration of Government,16
dcas_facilities_colp,Indoor Storage - Printed Material/Supplies,Storage,"City Agency Parking, Maintenance, and Storage",Administration of Government,1
dcas_facilities_colp,Indoor Storage - Supplies,Storage,"City Agency Parking, Maintenance, and Storage",Administration of Government,5
dcas_facilities_colp,Indoor Storage (Warehouse),Storage,"City Agency Parking, Maintenance, and Storage",Administration of Government,19
dcas_facilities_colp,Outdoor Maintenance/Storage Facility,Storage,"City Agency Parking, Maintenance, and Storage",Administration of Government,3
dcas_facilities_colp,Outdoor Storage,Storage,"City Agency Parking, Maintenance, and Storage",Administration of Government,15
dcas_facilities_colp,Outdoor Storage - Agency Vehicles,Storage,"City Agency Parking, Maintenance, and Storage",Administration of Government,2
dcas_facilities_colp,Outdoor Storage - Bulk Material,Storage,"City Agency Parking, Maintenance, and Storage",Administration of Government,11
dcas_facilities_colp,Outdoor Storage - Equipment,Storage,"City Agency Parking, Maintenance, and Storage",Administration of Government,12
dcas_facilities_colp,Mall/Triangle/Highway Strip/Park Strip,"Streetscapes, Plazas, and Malls",Parks and Plazas,"Parks, Gardens, and Historical Sites",44
dcas_facilities_colp,Neighborhood Sitting Area,"Streetscapes, Plazas, and Malls",Parks and Plazas,"Parks, Gardens, and Historical Sites",2
dcas_facilities_colp,Open Space,"Streetscapes, Plazas, and Malls",Parks and Plazas,"Parks, Gardens, and Historical Sites",8
dcas_facilities_colp,Public Place/Plaza,"Streetscapes, Plazas, and Malls",Parks and Plazas,"Parks, Gardens, and Historical Sites",8
dcas_facilities_colp,Sitting Area,"Streetscapes, Plazas, and Malls",Parks and Plazas,"Parks, Gardens, and Historical Sites",12
dot_facilities_pedplazas,Pedestrian Plaza,"Streetscapes, Plazas, and Malls",Parks and Plazas,"Parks, Gardens, and Historical Sites",69
dpr_parksproperties,Mall,"Streetscapes, Plazas, and Malls",Parks and Plazas,"Parks, Gardens, and Historical Sites",34
dpr_parksproperties,Parkway,"Streetscapes, Plazas, and Malls",Parks and Plazas,"Parks, Gardens, and Historical Sites",42
dpr_parksproperties,Strip,"Streetscapes, Plazas, and Malls",Parks and Plazas,"Parks, Gardens, and Historical Sites",68
dpr_parksproperties,Triangle/Plaza,"Streetscapes, Plazas, and Malls",Parks and Plazas,"Parks, Gardens, and Historical Sites",332
dcas_facilities_colp,Antenna,Telecommunications,Telecommunications,Core Infrastructure and Transportation,3
dcas_facilities_colp,Tele/Comp Facility,Telecommunications,Telecommunications,Core Infrastructure and Transportation,1
dcas_facilities_colp,Testing Facility,Training and Testing,"Offices, Training, and Testing",Administration of Government,3
dcas_facilities_colp,Training Facility,Training and Testing,"Offices, Training, and Testing",Administration of Government,5
dcas_facilities_colp,Training Facility - Indoor,Training and Testing,"Offices, Training, and Testing",Administration of Government,1
dcas_facilities_colp,Training Facility - Outdoor,Training and Testing,"Offices, Training, and Testing",Administration of Government,3
dcas_facilities_colp,Pollution Control Facility,Wastewater and Pollution Control,Water and Wastewater,Core Infrastructure and Transportation,13
dcas_facilities_colp,Pumping Station,Wastewater and Pollution Control,Water and Wastewater,Core Infrastructure and Transportation,62
dcas_facilities_colp,Sludge De-Watering Facility,Wastewater and Pollution Control,Water and Wastewater,Core Infrastructure and Transportation,3
dcas_facilities_colp,Stormwater Pumping Station,Wastewater and Pollution Control,Water and Wastewater,Core Infrastructure and Transportation,1
dcas_facilities_colp,Wastewater Pumping Station,Wastewater and Pollution Control,Water and Wastewater,Core Infrastructure and Transportation,41
dcas_facilities_colp,Water Pollution Control Plant,Wastewater and Pollution Control,Water and Wastewater,Core Infrastructure and Transportation,6
nycdep_facilities_sfpsd,Wastewater Treatment Plant,Wastewater and Pollution Control,Water and Wastewater,Core Infrastructure and Transportation,14
dcas_facilities_colp,Commercial Market,Wholesale Markets,Material Supplies and Markets,Core Infrastructure and Transportation,4
dcas_facilities_colp,Wholesale Food Market,Wholesale Markets,Material Supplies and Markets,Core Infrastructure and Transportation,1
doe_facilities_schoolsbluebook,School-Based Continuing Education Program,Workforce Development,Human Services,Health and Human Services,10
hhs_facilities_fmscontracts,Job Plus,Workforce Development,Human Services,Health and Human Services,78
hhs_facilities_proposals,Workforce1 Sector-Based Career Centers,Workforce Development,Human Services,Health and Human Services,1
hra_facilities_centers,Job Centers,Workforce Development,Human Services,Health and Human Services,28
sbs_facilities_workforce1,Employment Works,Workforce Development,Human Services,Health and Human Services,2
sbs_facilities_workforce1,NYC Business Solutions Center,Workforce Development,Human Services,Health and Human Services,7
sbs_facilities_workforce1,NYC Business Solutions Industrial and Transportation,Workforce Development,Human Services,Health and Human Services,9
sbs_facilities_workforce1,Workforce1 Career Center,Workforce Development,Human Services,Health and Human Services,23
dycd_facilities_otherprograms,Beacon Community Center Program,"Youth Centers, Literacy Programs, Job Training, and Immigrant Services",Youth Services,"Education, Child Welfare, and Youth",80
dycd_facilities_otherprograms,Cornerstone Community Center Program,"Youth Centers, Literacy Programs, Job Training, and Immigrant Services",Youth Services,"Education, Child Welfare, and Youth",90
dycd_facilities_otherprograms,Literacy Program,"Youth Centers, Literacy Programs, Job Training, and Immigrant Services",Youth Services,"Education, Child Welfare, and Youth",102
dycd_facilities_otherprograms,Neighborhood Development Area Program,"Youth Centers, Literacy Programs, Job Training, and Immigrant Services",Youth Services,"Education, Child Welfare, and Youth",220
dycd_facilities_otherprograms,Youth Program,"Youth Centers, Literacy Programs, Job Training, and Immigrant Services",Youth Services,"Education, Child Welfare, and Youth",746
hhs_facilities_financialscontracts,Cornerstone Community Center Program,"Youth Centers, Literacy Programs, Job Training, and Immigrant Services",Youth Services,"Education, Child Welfare, and Youth",37
hhs_facilities_financialscontracts,Youth Program,"Youth Centers, Literacy Programs, Job Training, and Immigrant Services",Youth Services,"Education, Child Welfare, and Youth",44
hhs_facilities_fmscontracts,Literacy Program,"Youth Centers, Literacy Programs, Job Training, and Immigrant Services",Youth Services,"Education, Child Welfare, and Youth",96
hhs_facilities_proposals,Cornerstone Community Center Program,"Youth Centers, Literacy Programs, Job Training, and Immigrant Services",Youth Services,"Education, Child Welfare, and Youth",42
hhs_facilities_proposals,Neighborhood Development Area Program,"Youth Centers, Literacy Programs, Job Training, and Immigrant Services",Youth Services,"Education, Child Welfare, and Youth",49
hhs_facilities_proposals,Youth Program,"Youth Centers, Literacy Programs, Job Training, and Immigrant Services",Youth Services,"Education, Child Welfare, and Youth",620
