COLP_abbrev, FacDB_abbrev
HYDC,HYDC
MTA,MTA
NYCTA,MTA
TBTA,MTA
PARKS,NYCDPR
BLDGS,NYCDOB
BPL,BPL
NYPL,NYPL
QPL,QPL
SANIT,NYCDSNY
AGING,NYCDFTA
EDUC,NYCDOE
CULT,NYCDCLA
CORR,NYCDOC
FIRE,NYCFDNY
HLTH,NYCDOHMH
ELECT,NYCBOE
CIVIL,NYCCSC
HUMRT,NYCCCHR
COUNC,NYCCOUNCIL
PLAN,NYCDCP
FINAN,NYCDOF
PROB,NYCDOP
DSBS,NYCSBS
FIRE,FDNY
NYPD,NYPD
HRA,NYCHRA/DSS
DA-SP,NYCDA-SNP
LDMKS,NYCLPC
OEM,NYCEM
PBADV,NYCPA
ACTRY,NYCACT
COMPT,NYCCOMP
MAYOR,NYCMO
MOME,NYCMO
TAX,NYCTC
COURT,NYCOURTS
CUNY,CUNY
PRIV,Non-public
UNKN,NYC-Unknown