facilityname,addressnumber,streetname,address,city,borough,facilitytype,facilitygroup,facilitysubgroup,operatortype,operatorname,operatorabbrev,oversightagency,oversightabbrev,DataSource,Dataset,DatasetType,DateLastUpdated,DateObtained,DataLink,DirectDownloadLink
Records & Supply Bureau for NYC Criminal Court - Queens County Branch,"""3300""",Northern Boulevard,3300 Northern Boulevard,,Queens,Courthouse,,,Public,New York State Unified Court System,NYCOURTS,New York State Unified Court System,NYCOURTS,NYCOURTS,The Courts,Addresses,Unknown,7/1/16,http://www.nycourts.gov/courts/index.shtml,NA
Queens County Surrogate's Court,"""88-11""",Sutphin Blvd.,88-11 Sutphin Blvd.,,Queens,Courthouse,,,Public,New York State Unified Court System,NYCOURTS,New York State Unified Court System,NYCOURTS,NYCOURTS,The Courts,Addresses,Unknown,7/1/16,http://www.nycourts.gov/courts/index.shtml,NA
Queens County Family Court,"""151-20""",Jamaica Avenue,151-20 Jamaica Avenue,,Queens,Courthouse,,,Public,New York State Unified Court System,NYCOURTS,New York State Unified Court System,NYCOURTS,NYCOURTS,The Courts,Addresses,Unknown,7/1/16,http://www.nycourts.gov/courts/index.shtml,NA
New York City Civil Court - Queens County Branch,"""89-17""",Sutphin Blvd.,89-17 Sutphin Blvd.,,Queens,Courthouse,,,Public,New York State Unified Court System,NYCOURTS,New York State Unified Court System,NYCOURTS,NYCOURTS,The Courts,Addresses,Unknown,7/1/16,http://www.nycourts.gov/courts/index.shtml,NA
New York City Housing Court - Queens County Branch,"""89-17""",Sutphin Blvd.,89-17 Sutphin Blvd.,,Queens,Courthouse,,,Public,New York State Unified Court System,NYCOURTS,New York State Unified Court System,NYCOURTS,NYCOURTS,The Courts,Addresses,Unknown,7/1/16,http://www.nycourts.gov/courts/index.shtml,NA
Appellate Division 1st Department - Mental Hygiene Legal Service,"""600""",East 125th Street,600 East 125th Street,,Manhattan,Courthouse,,,Public,New York State Unified Court System,NYCOURTS,New York State Unified Court System,NYCOURTS,NYCOURTS,The Courts,Addresses,Unknown,7/1/16,http://www.nycourts.gov/courts/index.shtml,NA
New York County Jury Operations,"""60""",Centre Street,60 Centre Street,,Manhattan,Courthouse,,,Public,New York State Unified Court System,NYCOURTS,New York State Unified Court System,NYCOURTS,NYCOURTS,The Courts,Addresses,Unknown,7/1/16,http://www.nycourts.gov/courts/index.shtml,NA
New York City Housing Court - New York County Branch,"""111""",Centre Street,111 Centre Street,,Manhattan,Courthouse,,,Public,New York State Unified Court System,NYCOURTS,New York State Unified Court System,NYCOURTS,NYCOURTS,The Courts,Addresses,Unknown,7/1/16,http://www.nycourts.gov/courts/index.shtml,NA
New York City Civil Court - New York County Branch,"""111""",Centre Street,111 Centre Street,,Manhattan,Courthouse,,,Public,New York State Unified Court System,NYCOURTS,New York State Unified Court System,NYCOURTS,NYCOURTS,The Courts,Addresses,Unknown,7/1/16,http://www.nycourts.gov/courts/index.shtml,NA
New York City Civil Court - New York County Branch,"""170""",E. 121st Street,170 E. 121st Street,,Manhattan,Courthouse,,,Public,New York State Unified Court System,NYCOURTS,New York State Unified Court System,NYCOURTS,NYCOURTS,The Courts,Addresses,Unknown,7/1/16,http://www.nycourts.gov/courts/index.shtml,NA
New York County Family Court,"""60""",Lafayette Street,60 Lafayette Street,,Manhattan,Courthouse,,,Public,New York State Unified Court System,NYCOURTS,New York State Unified Court System,NYCOURTS,NYCOURTS,The Courts,Addresses,Unknown,7/1/16,http://www.nycourts.gov/courts/index.shtml,NA
New York County Surrogate's Court,"""31""",Chambers Street,31 Chambers Street,,Manhattan,Courthouse,,,Public,New York State Unified Court System,NYCOURTS,New York State Unified Court System,NYCOURTS,NYCOURTS,The Courts,Addresses,Unknown,7/1/16,http://www.nycourts.gov/courts/index.shtml,NA
New York City Criminal Court - Citywide Summons Part,"""346""",Broadway,346 Broadway,,Manhattan,Courthouse,,,Public,New York State Unified Court System,NYCOURTS,New York State Unified Court System,NYCOURTS,NYCOURTS,The Courts,Addresses,Unknown,7/1/16,http://www.nycourts.gov/courts/index.shtml,NA
New York City Criminal Court - Human Resources,"""111""",Centre Street,111 Centre Street,,Manhattan,Courthouse,,,Public,New York State Unified Court System,NYCOURTS,New York State Unified Court System,NYCOURTS,NYCOURTS,The Courts,Addresses,Unknown,7/1/16,http://www.nycourts.gov/courts/index.shtml,NA
New York City Criminal Court - Treatment Court Offices,"""60""",Lafayette Street,60 Lafayette Street,,Manhattan,Courthouse,,,Public,New York State Unified Court System,NYCOURTS,New York State Unified Court System,NYCOURTS,NYCOURTS,The Courts,Addresses,Unknown,7/1/16,http://www.nycourts.gov/courts/index.shtml,NA
New York City Criminal Court - Citywide Administration,"""100""",Centre Street,100 Centre Street,,Manhattan,Courthouse,,,Public,New York State Unified Court System,NYCOURTS,New York State Unified Court System,NYCOURTS,NYCOURTS,The Courts,Addresses,Unknown,7/1/16,http://www.nycourts.gov/courts/index.shtml,NA
New York City Criminal Court - Kings County Branch,"""320""",Jay Street,320 Jay Street,,Brooklyn,Courthouse,,,Public,New York State Unified Court System,NYCOURTS,New York State Unified Court System,NYCOURTS,NYCOURTS,The Courts,Addresses,Unknown,7/1/16,http://www.nycourts.gov/courts/index.shtml,NA
New York City Criminal Court - New York County Branch,"""100""",Centre Street,100 Centre Street,,Manhattan,Courthouse,,,Public,New York State Unified Court System,NYCOURTS,New York State Unified Court System,NYCOURTS,NYCOURTS,The Courts,Addresses,Unknown,7/1/16,http://www.nycourts.gov/courts/index.shtml,NA
OCA-Office of Deputy Chief Administrative Judge Within NYC,"""100""",Centre Street,100 Centre Street,,Manhattan,Courthouse,,,Public,New York State Unified Court System,NYCOURTS,New York State Unified Court System,NYCOURTS,NYCOURTS,The Courts,Addresses,Unknown,7/1/16,http://www.nycourts.gov/courts/index.shtml,NA
New York County Supreme Court - Criminal Term,"""100""",Centre Street,100 Centre Street,,Manhattan,Courthouse,,,Public,New York State Unified Court System,NYCOURTS,New York State Unified Court System,NYCOURTS,NYCOURTS,The Courts,Addresses,Unknown,7/1/16,http://www.nycourts.gov/courts/index.shtml,NA
New York County Supreme Court - Criminal Term,"""111""",Centre Street,111 Centre Street,,Manhattan,Courthouse,,,Public,New York State Unified Court System,NYCOURTS,New York State Unified Court System,NYCOURTS,NYCOURTS,The Courts,Addresses,Unknown,7/1/16,http://www.nycourts.gov/courts/index.shtml,NA
New York County Supreme Criminal Law Library,"""100""",Centre Street,100 Centre Street,,Manhattan,Courthouse,,,Public,New York State Unified Court System,NYCOURTS,New York State Unified Court System,NYCOURTS,NYCOURTS,The Courts,Addresses,Unknown,7/1/16,http://www.nycourts.gov/courts/index.shtml,NA
Court of Appeals - Chambers,"""420""",Lexington Avenue,420 Lexington Avenue,,Manhattan,Courthouse,,,Public,New York State Unified Court System,NYCOURTS,New York State Unified Court System,NYCOURTS,NYCOURTS,The Courts,Addresses,Unknown,7/1/16,http://www.nycourts.gov/courts/index.shtml,NA
New York County Supreme Court - Civil Term,"""100""",Centre Street,100 Centre Street,,Manhattan,Courthouse,,,Public,New York State Unified Court System,NYCOURTS,New York State Unified Court System,NYCOURTS,NYCOURTS,The Courts,Addresses,Unknown,7/1/16,http://www.nycourts.gov/courts/index.shtml,NA
New York County Supreme Court - Civil Term,"""111""",Centre Street,111 Centre Street,,Manhattan,Courthouse,,,Public,New York State Unified Court System,NYCOURTS,New York State Unified Court System,NYCOURTS,NYCOURTS,The Courts,Addresses,Unknown,7/1/16,http://www.nycourts.gov/courts/index.shtml,NA
New York County Supreme Court - Civil Term,"""71""",Thomas Street,71 Thomas Street,,Manhattan,Courthouse,,,Public,New York State Unified Court System,NYCOURTS,New York State Unified Court System,NYCOURTS,NYCOURTS,The Courts,Addresses,Unknown,7/1/16,http://www.nycourts.gov/courts/index.shtml,NA
New York County Supreme Court - Civil Term,"""80""",Centre Street,80 Centre Street,,Manhattan,Courthouse,,,Public,New York State Unified Court System,NYCOURTS,New York State Unified Court System,NYCOURTS,NYCOURTS,The Courts,Addresses,Unknown,7/1/16,http://www.nycourts.gov/courts/index.shtml,NA
New York County Supreme Court - Civil Term,"""60""",Centre Street,60 Centre Street,,Manhattan,Courthouse,,,Public,New York State Unified Court System,NYCOURTS,New York State Unified Court System,NYCOURTS,NYCOURTS,The Courts,Addresses,Unknown,7/1/16,http://www.nycourts.gov/courts/index.shtml,NA
Midtown Community Court,"""314""",West 54th Street,314 West 54th Street,,Manhattan,Courthouse,,,Public,New York State Unified Court System,NYCOURTS,New York State Unified Court System,NYCOURTS,NYCOURTS,The Courts,Addresses,Unknown,7/1/16,http://www.nycourts.gov/courts/index.shtml,NA
Court of Claims,"""26""",Broadway,26 Broadway,,Manhattan,Courthouse,,,Public,New York State Unified Court System,NYCOURTS,New York State Unified Court System,NYCOURTS,NYCOURTS,The Courts,Addresses,Unknown,7/1/16,http://www.nycourts.gov/courts/index.shtml,NA
Kings County Clerk - NYCCOA,"""360""",Adams Street Room 189,360 Adams Street Room 189,,Brooklyn,Courthouse,,,Public,New York State Unified Court System,NYCOURTS,New York State Unified Court System,NYCOURTS,NYCOURTS,The Courts,Addresses,Unknown,7/1/16,http://www.nycourts.gov/courts/index.shtml,NA
Kings County Jury,"""360""",Adams Street,360 Adams Street,,Brooklyn,Courthouse,,,Public,New York State Unified Court System,NYCOURTS,New York State Unified Court System,NYCOURTS,NYCOURTS,The Courts,Addresses,Unknown,7/1/16,http://www.nycourts.gov/courts/index.shtml,NA
Appellate Division 2nd Department - Appellate Term,"""111""",Livingston Street,111 Livingston Street,,Brooklyn,Courthouse,,,Public,New York State Unified Court System,NYCOURTS,New York State Unified Court System,NYCOURTS,NYCOURTS,The Courts,Addresses,Unknown,7/1/16,http://www.nycourts.gov/courts/index.shtml,NA
Kings County Surrogate's Court,"""2""",Johnson Street,2 Johnson Street,,Brooklyn,Courthouse,,,Public,New York State Unified Court System,NYCOURTS,New York State Unified Court System,NYCOURTS,NYCOURTS,The Courts,Addresses,Unknown,7/1/16,http://www.nycourts.gov/courts/index.shtml,NA
New York City Criminal Court - Kings County Branch,"""120""",Schermerhorn Street,120 Schermerhorn Street,,Brooklyn,Courthouse,,,Public,New York State Unified Court System,NYCOURTS,New York State Unified Court System,NYCOURTS,NYCOURTS,The Courts,Addresses,Unknown,7/1/16,http://www.nycourts.gov/courts/index.shtml,NA
New York City Civil Court - Kings County Branch,"""141""",Livingston Street,141 Livingston Street,,Brooklyn,Courthouse,,,Public,New York State Unified Court System,NYCOURTS,New York State Unified Court System,NYCOURTS,NYCOURTS,The Courts,Addresses,Unknown,7/1/16,http://www.nycourts.gov/courts/index.shtml,NA
New York City Housing Court - Kings County Branch,"""141""",Livingston Street,141 Livingston Street,,Brooklyn,Courthouse,,,Public,New York State Unified Court System,NYCOURTS,New York State Unified Court System,NYCOURTS,NYCOURTS,The Courts,Addresses,Unknown,7/1/16,http://www.nycourts.gov/courts/index.shtml,NA
Kings County Family Court,"""330""",Jay Street,330 Jay Street,,Brooklyn,Courthouse,,,Public,New York State Unified Court System,NYCOURTS,New York State Unified Court System,NYCOURTS,NYCOURTS,The Courts,Addresses,Unknown,7/1/16,http://www.nycourts.gov/courts/index.shtml,NA
Kings County Supreme Court - Civil Term,"""360""",Adams Street,360 Adams Street,,Brooklyn,Courthouse,,,Public,New York State Unified Court System,NYCOURTS,New York State Unified Court System,NYCOURTS,NYCOURTS,The Courts,Addresses,Unknown,7/1/16,http://www.nycourts.gov/courts/index.shtml,NA
Kings County Law Library,"""360""",Adams Street,360 Adams Street,,Brooklyn,Courthouse,,,Public,New York State Unified Court System,NYCOURTS,New York State Unified Court System,NYCOURTS,NYCOURTS,The Courts,Addresses,Unknown,7/1/16,http://www.nycourts.gov/courts/index.shtml,NA
Kings County Supreme Court - Criminal Term,"""320""",Jay Street,320 Jay Street,,Brooklyn,Courthouse,,,Public,New York State Unified Court System,NYCOURTS,New York State Unified Court System,NYCOURTS,NYCOURTS,The Courts,Addresses,Unknown,7/1/16,http://www.nycourts.gov/courts/index.shtml,NA
Appellate Division 1st Department - Mental Hygiene Legal Service,"""506""",Lenox Avenue,506 Lenox Avenue,,Manhattan,Courthouse,,,Public,New York State Unified Court System,NYCOURTS,New York State Unified Court System,NYCOURTS,NYCOURTS,The Courts,Addresses,Unknown,7/1/16,http://www.nycourts.gov/courts/index.shtml,NA
Appellate Division 1st Department - Mental Hygiene Legal Service,"""75""",Morton Street,75 Morton Street,,Manhattan,Courthouse,,,Public,New York State Unified Court System,NYCOURTS,New York State Unified Court System,NYCOURTS,NYCOURTS,The Courts,Addresses,Unknown,7/1/16,http://www.nycourts.gov/courts/index.shtml,NA
Appellate Division 1st Department - Mental Hygiene Legal Service,"""462""",First Avenue,462 First Avenue,,Manhattan,Courthouse,,,Public,New York State Unified Court System,NYCOURTS,New York State Unified Court System,NYCOURTS,NYCOURTS,The Courts,Addresses,Unknown,7/1/16,http://www.nycourts.gov/courts/index.shtml,NA
Appellate Division 1st Department - Mental Hygiene Legal Service,"""1901""",First Avenue,1901 First Avenue,,Manhattan,Courthouse,,,Public,New York State Unified Court System,NYCOURTS,New York State Unified Court System,NYCOURTS,NYCOURTS,The Courts,Addresses,Unknown,7/1/16,http://www.nycourts.gov/courts/index.shtml,NA
First Judicial Department Appellate Term,"""60""",Centre Street,60 Centre Street,,Manhattan,Courthouse,,,Public,New York State Unified Court System,NYCOURTS,New York State Unified Court System,NYCOURTS,NYCOURTS,The Courts,Addresses,Unknown,7/1/16,http://www.nycourts.gov/courts/index.shtml,NA
New York County Supreme Civil Law Library,"""60""",Centre Street,60 Centre Street,,Manhattan,Courthouse,,,Public,New York State Unified Court System,NYCOURTS,New York State Unified Court System,NYCOURTS,NYCOURTS,The Courts,Addresses,Unknown,7/1/16,http://www.nycourts.gov/courts/index.shtml,NA
Appellate Division 1st Department,"""27""",Madison Avenue,27 Madison Avenue,,Manhattan,Courthouse,,,Public,New York State Unified Court System,NYCOURTS,New York State Unified Court System,NYCOURTS,NYCOURTS,The Courts,Addresses,Unknown,7/1/16,http://www.nycourts.gov/courts/index.shtml,NA
Appellate Division 1st Department - Character and Fitness,"""60""",Madison Avenue,60 Madison Avenue,,Manhattan,Courthouse,,,Public,New York State Unified Court System,NYCOURTS,New York State Unified Court System,NYCOURTS,NYCOURTS,The Courts,Addresses,Unknown,7/1/16,http://www.nycourts.gov/courts/index.shtml,NA
Appellate Division 1st Department - Mental Hygiene Legal Services,"""60""",Madison Avenue,60 Madison Avenue,,Manhattan,Courthouse,,,Public,New York State Unified Court System,NYCOURTS,New York State Unified Court System,NYCOURTS,NYCOURTS,The Courts,Addresses,Unknown,7/1/16,http://www.nycourts.gov/courts/index.shtml,NA
Appellate Division 1st Department - Law Guardian Office,"""41""",Madison Avenue,41 Madison Avenue,,Manhattan,Courthouse,,,Public,New York State Unified Court System,NYCOURTS,New York State Unified Court System,NYCOURTS,NYCOURTS,The Courts,Addresses,Unknown,7/1/16,http://www.nycourts.gov/courts/index.shtml,NA
Court of Appeals - Chambers,"""570""",Lexington Avenue,570 Lexington Avenue,,Manhattan,Courthouse,,,Public,New York State Unified Court System,NYCOURTS,New York State Unified Court System,NYCOURTS,NYCOURTS,The Courts,Addresses,Unknown,7/1/16,http://www.nycourts.gov/courts/index.shtml,NA
MCC New York,150,Park Row,150 Park Row,,Manhattan,Correctional Facility,,,Public,Federal Bureau of Prisons,FBOP,Federal Bureau of Prisons,FBOP,FBOP,Our Locations,Webmap,Unknown,7/1/16,https://www.bop.gov/locations/map.jsp#,NA
RRM New York,100,29TH STEET,100 29TH STEET,,Brooklyn,Field Office,,,Public,Federal Bureau of Prisons,FBOP,Federal Bureau of Prisons,FBOP,FBOP,Our Locations,Webmap,Unknown,7/1/16,https://www.bop.gov/locations/map.jsp#,NA
MDC Brooklyn,80,29TH STEET,80 29TH STREET,,Brooklyn,Detention Center,,,Public,Federal Bureau of Prisons,FBOP,Federal Bureau of Prisons,FBOP,FBOP,Our Locations,Webmap,Unknown,7/1/16,https://www.bop.gov/locations/map.jsp#,NA
Daniel Patrick Moynihan United States Courthouse,500,Pearl Street,500 Pearl Street,,Manhattan,New York Southern District Court,,,Public,United States Courts,USCOURTS,United States Courts,USCOURTS,USCOURTS,Court Locator Results,Addresses,Unknown,7/1/16,http://www.uscourts.gov/court-locator/city/New%20York/state/NY,NA
Daniel Patrick Moynihan United States Courthouse,500,Pearl Street,500 Pearl Street,,Manhattan,New York Southern Pretrial Services,,,Public,United States Courts,USCOURTS,United States Courts,USCOURTS,USCOURTS,Court Locator Results,Addresses,Unknown,7/1/16,http://www.uscourts.gov/court-locator/city/New%20York/state/NY,NA
Daniel Patrick Moynihan United States Courthouse,500,Pearl Street,500 Pearl Street,,Manhattan,New York Southern Probation Office,,,Public,United States Courts,USCOURTS,United States Courts,USCOURTS,USCOURTS,Court Locator Results,Addresses,Unknown,7/1/16,http://www.uscourts.gov/court-locator/city/New%20York/state/NY,NA
Thurgood Marshall United States Courthouse,40,Centre Street,40 Centre Street,,Manhattan,Second Circuit Librarian,,,Public,United States Courts,USCOURTS,United States Courts,USCOURTS,USCOURTS,Court Locator Results,Addresses,Unknown,7/1/16,http://www.uscourts.gov/court-locator/city/New%20York/state/NY,NA
Thurgood Marshall United States Courthouse,40,Centre Street,40 Centre Street,,Manhattan,Second Circuit Court of Appeals Clerk,,,Public,United States Courts,USCOURTS,United States Courts,USCOURTS,USCOURTS,Court Locator Results,Addresses,Unknown,7/1/16,http://www.uscourts.gov/court-locator/city/New%20York/state/NY,NA
James L. Watson United States Court of International Trade Building,One,Federal Plaza,One Federal Plaza,,Manhattan,United States Court of International Trade Librarian,,,Public,United States Courts,USCOURTS,United States Courts,USCOURTS,USCOURTS,Court Locator Results,Addresses,Unknown,7/1/16,http://www.uscourts.gov/court-locator/city/New%20York/state/NY,NA
James L. Watson United States Court of International Trade Building,One,Federal Plaza,One Federal Plaza,,Manhattan,United States Court of International Trade,,,Public,United States Courts,USCOURTS,United States Courts,USCOURTS,USCOURTS,Court Locator Results,Addresses,Unknown,7/1/16,http://www.uscourts.gov/court-locator/city/New%20York/state/NY,NA
52 Duane Street ,52,Duane Street ,52 Duane Street ,,Manhattan,"Federal Defenders of New York, Inc.",,,Public,United States Courts,USCOURTS,United States Courts,USCOURTS,USCOURTS,Court Locator Results,Addresses,Unknown,7/1/16,http://www.uscourts.gov/court-locator/city/New%20York/state/NY,NA
Emanuel Celler Federal Building,225,Cadman Plaza East,225 Cadman Plaza East,,Brooklyn,Second Circuit Librarian,,,Public,United States Courts,USCOURTS,United States Courts,USCOURTS,USCOURTS,Court Locator Results,Addresses,Unknown,7/1/16,http://www.uscourts.gov/court-locator/city/New%20York/state/NY,NA
Alexander Hamilton Custom House,One,Bowling Green,One Bowling Green,,Manhattan,New York Southern Bankruptcy Court,,,Public,United States Courts,USCOURTS,United States Courts,USCOURTS,USCOURTS,Court Locator Results,Addresses,Unknown,7/1/16,http://www.uscourts.gov/court-locator/city/New%20York/state/NY,NA
One Pierrepont Plaza,300,Cadman Plaza West,300 Cadman Plaza West,,Brooklyn,"Federal Defenders of New York, Inc.",,,Public,United States Courts,USCOURTS,United States Courts,USCOURTS,USCOURTS,Court Locator Results,Addresses,Unknown,7/1/16,http://www.uscourts.gov/court-locator/city/New%20York/state/NY,NA